     287  ! Number of wavelengths
n_imag = 5e-5
Wavelength (nm), R_diff (r=0.1 micron), R_diff(r=1 micron)
      833.000   0.00357570   0.00367308
      836.000  5.09548e-05  5.06752e-05
      839.000  2.24758e-08  2.24758e-08
      842.000  2.57737e-08  2.57737e-08
      845.000  1.02537e-06  1.03190e-06
      848.000  1.18053e-05  1.20384e-05
      851.000  7.92064e-06  8.14714e-06
      854.000  1.31961e-08  1.31961e-08
      857.000      0.00000      0.00000
      860.000      0.00000      0.00000
      863.000      0.00000      0.00000
      866.000      0.00000      0.00000
      869.000      0.00000      0.00000
      872.000      0.00000      0.00000
      875.000      0.00000      0.00000
      878.000      0.00000      0.00000
      881.000      0.00000      0.00000
      884.000      0.00000      0.00000
      887.000      0.00000      0.00000
      890.000      0.00000      0.00000
      893.000      0.00000      0.00000
      896.000      0.00000      0.00000
      899.000      0.00000      0.00000
      902.000      0.00000      0.00000
      905.000      0.00000      0.00000
      908.000      0.00000      0.00000
      912.000      0.00000      0.00000
      915.000      0.00000      0.00000
      918.000  9.74926e-08  1.20432e-07
      921.000  4.20621e-06  5.25874e-06
      924.000  9.63322e-05  0.000126664
      927.000  0.000436499  0.000604822
      930.000   0.00218895   0.00326407
      933.000   0.00429561   0.00670415
n_imag = 5e-3
Wavelength (nm), R_diff (r=0.1 micron), R_diff(r=1 micron)
      382.000  0.000774004 -0.000326797
      383.000  0.000786313 -0.000348731
      384.000  0.000799793 -0.000373253
      385.000  0.000810211 -0.000398432
      386.000  0.000845436 -0.000442439
      387.000  0.000855789 -0.000473026
      388.000  0.000926641 -0.000551575
      389.000  0.000926567 -0.000583871
      390.000  0.000937297 -0.000631739
      391.000  0.000963786 -0.000701085
      392.000  0.000990217 -0.000778404
      393.000   0.00104008 -0.000901837
      394.000   0.00103044 -0.000955978
      395.000  0.000977630 -0.000972038
      396.000  0.000968013  -0.00104077
      397.000  0.000956364  -0.00113990
      398.000  0.000902736  -0.00115193
      399.000  0.000854315  -0.00119334
      400.000  0.000821428  -0.00128723
      401.000  0.000786943  -0.00136597
      402.000  0.000735172  -0.00144028
      403.000  0.000691092  -0.00153647
      404.000  0.000642026  -0.00171352
      405.000  0.000586332  -0.00182530
      406.000  0.000519008  -0.00196746
      407.000  0.000426904  -0.00214606
      408.000  0.000338832  -0.00228241
      409.000  0.000215197  -0.00250613
      410.000  0.000106346  -0.00268563
      411.000 -2.09526e-05  -0.00285809
      412.000 -0.000168237  -0.00303665
      413.000 -0.000305586  -0.00323272
      414.000 -0.000441901  -0.00336123
      415.000 -0.000579913  -0.00348579
      416.000 -0.000816487  -0.00386100
      417.000  -0.00100764  -0.00411618
      418.000  -0.00126563  -0.00445139
      419.000  -0.00145832  -0.00469089
      420.000  -0.00174293  -0.00507176
      421.000  -0.00203141  -0.00540861
      422.000  -0.00239887  -0.00586464
      423.000  -0.00283858  -0.00639792
      424.000  -0.00316573  -0.00678878
      425.000  -0.00357187  -0.00724427
      426.000  -0.00396209  -0.00771654
      427.000  -0.00443808  -0.00827660
      428.000  -0.00495171  -0.00887324
      429.000  -0.00556019  -0.00958718
      430.000  -0.00632892   -0.0105028
      431.000  -0.00686525   -0.0111068
      432.000  -0.00705160   -0.0112620
      433.000  -0.00748033   -0.0117115
      434.000  -0.00801962   -0.0123341
      435.000  -0.00818413   -0.0125301
      436.000  -0.00832937   -0.0126845
      437.000  -0.00878152   -0.0131962
      438.000 -0.000239934  -0.00406079
      439.000 -0.000366975  -0.00422853
      440.000 -0.000200805  -0.00388613
      441.000 -0.000146599  -0.00365088
      442.000 -0.000213944  -0.00387053
      443.000 -0.000539154  -0.00452146
      444.000 -0.000727205  -0.00491430
      445.000 -0.000660453  -0.00493850
      446.000 -0.000625098  -0.00490368
      447.000 -0.000672594  -0.00499622
      448.000 -0.000618953  -0.00498852
      449.000 -0.000678973  -0.00509930
      450.000 -0.000518742  -0.00504440
      451.000 -0.000458155  -0.00502611
      452.000 -0.000537401  -0.00517072
      453.000 -0.000602531  -0.00531865
      454.000 -0.000666622  -0.00547606
      455.000 -0.000673934  -0.00549983
      456.000 -0.000698636  -0.00554052
      457.000 -0.000608115  -0.00540942
      458.000 -0.000430531  -0.00516442
      459.000 -0.000339419  -0.00499963
      460.000 -0.000446445  -0.00519775
      461.000 -0.000945546  -0.00598034
      462.000  -0.00141314  -0.00669911
      463.000  -0.00164437  -0.00700035
      464.000  -0.00175858  -0.00721739
      465.000  -0.00179076  -0.00729092
      466.000  -0.00185198  -0.00744053
      467.000  -0.00200496  -0.00759204
      468.000  -0.00233448  -0.00805266
      469.000  -0.00255874  -0.00835545
      470.000  -0.00277929  -0.00865114
      471.000  -0.00289792  -0.00878420
      472.000  -0.00300906  -0.00897738
      473.000  -0.00314321  -0.00917626
      474.000  -0.00332825  -0.00938528
      475.000  -0.00348323  -0.00961862
      476.000  -0.00335721  -0.00946645
      477.000  -0.00325755  -0.00936787
      478.000  -0.00272895  -0.00863939
      479.000  -0.00235100  -0.00818279
      480.000  -0.00192796  -0.00761615
      481.000  -0.00146694  -0.00689312
      482.000  -0.00100523  -0.00615712
      483.000 -0.000404344  -0.00505850
      484.000  0.000398923  -0.00320006
      485.000  0.000752339  -0.00191306
      486.000  0.000821819  -0.00155696
      487.000  8.01866e-05  -0.00402218
      488.000  -0.00196642  -0.00772595
      489.000  -0.00543596   -0.0125940
      490.000  -0.00712317   -0.0144631
      491.000  -0.00792028   -0.0153966
      492.000  -0.00862312   -0.0162883
      493.000  -0.00905300   -0.0168068
      494.000  -0.00937231   -0.0171257
      495.000   -0.0132977   -0.0216428
      496.000   -0.0130820   -0.0214752
      497.000   -0.0124420   -0.0208607
      498.000   -0.0124430   -0.0210430
      499.000   -0.0112568   -0.0197084
      500.000   -0.0105589   -0.0190639
      501.000  -0.00972688   -0.0182178
      502.000  -0.00850221   -0.0168734
      503.000  -0.00774592   -0.0159840
      504.000  -0.00656892   -0.0145621
      505.000  -0.00509165   -0.0126743
      506.000  -0.00390351   -0.0111063
      507.000  -0.00258638  -0.00928204
      508.000  -0.00118048  -0.00703834
      509.000 -0.000553808  -0.00590899
      510.000 -0.000434801  -0.00570174
      511.000 -0.000899062  -0.00663623
      512.000  -0.00250415  -0.00941117
      513.000  -0.00479374   -0.0127667
      514.000  -0.00786385   -0.0166032
      515.000  -0.00934858   -0.0183692
      516.000  -0.00979500   -0.0189122
      517.000  -0.00943777   -0.0186315
      518.000  -0.00760277   -0.0165767
      519.000  -0.00626055   -0.0150694
      520.000  -0.00466019   -0.0131733
      521.000  -0.00294528   -0.0109744
      522.000  -0.00248928   -0.0104004
      523.000  -0.00243863   -0.0104341
      524.000  -0.00271001   -0.0109387
      525.000  -0.00346122   -0.0120959
      526.000  -0.00453722   -0.0135993
      527.000  -0.00490077   -0.0141411
      528.000  -0.00517592   -0.0145234
      529.000  -0.00473275   -0.0140003
      530.000  -0.00394905   -0.0130040
      531.000  -0.00294075   -0.0116106
      532.000  -0.00175014  -0.00978022
      533.000 -0.000411272  -0.00761795
      534.000  0.000421121  -0.00598772
      535.000   0.00132709  -0.00409949
      536.000   0.00181371  -0.00240920
      537.000   0.00179830  -0.00129448
      538.000   0.00151082 -0.000591995
      539.000   0.00115271 -0.000271167
      540.000  0.000757001 -0.000123280
      541.000  0.000390564 -7.32144e-05
      542.000  0.000177060 -5.56527e-05
      543.000  0.000133254 -5.64422e-05
      544.000  0.000277261 -4.41702e-05
      545.000  0.000824243 -6.80410e-05
      546.000   0.00182032 -0.000663550
      547.000   0.00214351  -0.00310322
      548.000  0.000529575  -0.00734250
      549.000  -0.00188018   -0.0113557
      550.000  -0.00349089   -0.0135427
      551.000  -0.00405569   -0.0142395
      554.000  -0.00238650   -0.0122503
      557.000 -0.000653236  -0.00999153
      560.000  -0.00115696   -0.0107956
      563.000 -0.000276656  -0.00950851
      566.000   0.00153953  -0.00638688
      569.000   0.00273344  -0.00300592
      572.000   0.00281034  -0.00112221
      575.000   0.00196182 -6.32676e-05
      578.000   0.00231787 -0.000205560
      605.000   0.00452921  -0.00137444
